state,date,cases
Japan,2020-02-15,93.36149115098172
Japan,2020-02-16,91.63865898116131
Japan,2020-02-17,88.10434495774433
Japan,2020-02-18,83.38368138554874
Japan,2020-02-19,78.61293916176106
Japan,2020-02-20,74.40225836440239
Japan,2020-02-21,70.34446299660104
Japan,2020-02-22,67.06879331810156
Japan,2020-02-23,63.81404127530694
Japan,2020-02-24,60.39960745348789
Japan,2020-02-25,57.008169750752494
Japan,2020-02-26,53.86309657204235
Japan,2020-02-27,50.455857232059685
Japan,2020-02-28,46.84491499298278
Japan,2020-02-29,43.06190126923202
Japan,2020-03-01,39.00513306937969
Japan,2020-03-02,34.79748872452381
Japan,2020-03-03,30.64461958782115
Japan,2020-03-04,26.68811510319844
Japan,2020-03-05,23.010413524009927
Japan,2020-03-06,19.62745555600241
Japan,2020-03-07,16.619971479430887
Japan,2020-03-08,13.982158157718288
Japan,2020-03-09,11.642289651911867
Japan,2020-03-10,9.697714494986824
Japan,2020-03-11,8.278412164745452
Japan,2020-03-12,7.1948319683119575
Japan,2020-03-13,6.262580389536003
Japan,2020-03-14,5.524123379618484
Japan,2020-03-15,4.964785452315143
Japan,2020-03-16,4.620982099516081
Japan,2020-03-17,4.350372773630837
Japan,2020-03-18,4.104072223346247
Japan,2020-03-19,3.9537170333601757
Japan,2020-03-20,3.8023720323677397
Japan,2020-03-21,3.6229462110967607
Japan,2020-03-22,3.396188656762971
Japan,2020-03-23,3.2262908475767667
Japan,2020-03-24,3.0552505455440055
Japan,2020-03-25,2.840436051609425
Japan,2020-03-26,2.5963430854875513
Japan,2020-03-27,2.323847216549088
Japan,2020-03-28,2.06634014844957
Japan,2020-03-29,1.8628502638662487
Japan,2020-03-30,1.6740841106361004
Japan,2020-03-31,1.5010466251675079
Japan,2020-04-01,1.3846470919208949
Japan,2020-04-02,1.3262900048553692
Japan,2020-04-03,1.2894092801498485
Japan,2020-04-04,1.233810766321137
Japan,2020-04-05,1.1773513886443037
Japan,2020-04-06,1.1105671401380692
Japan,2020-04-07,1.0939724551886925
Japan,2020-04-08,1.2471600734680324
Japan,2020-04-09,1.404926101339931
Japan,2020-04-10,1.4699196124972291
Japan,2020-04-11,1.470475186638435
Japan,2020-04-12,1.4197851255338467
Japan,2020-04-13,1.329686715250796
Japan,2020-04-14,1.2122047960579092
Japan,2020-04-15,1.0779295899678625
Japan,2020-04-16,0.937162826651535
Japan,2020-04-17,0.7972290045039127
Japan,2020-04-18,0.66430439141393
Japan,2020-04-19,0.5430243833456233
Japan,2020-04-20,0.43552488929737565
Japan,2020-04-21,0.34311235615371627
Japan,2020-04-22,0.26528832879396225
Japan,2020-04-23,0.20189504255173873
Japan,2020-04-24,0.1510412533964699
Japan,2020-04-25,0.11121665283150606
Japan,2020-04-26,0.08059470413679137
Japan,2020-04-27,0.05743979713169578
Japan,2020-04-28,0.04024466466844345
Japan,2020-04-29,0.027865150721765097
Japan,2020-04-30,0.01895090202423444
Japan,2020-05-01,0.012628039909768574
Japan,2020-05-02,0.008261064371765436
Japan,2020-05-03,0.0053499904082724425
Japan,2020-05-04,0.0034553078124909264
Japan,2020-05-05,0.002142566023426995
Japan,2020-05-06,0.0013470901083822984
Japan,2020-05-07,0.0006614925790714432
