state,date,0
Japan,2020-02-15,15.540501468825383
Japan,2020-02-16,20.655249572283576
Japan,2020-02-17,13.285049291817101
Japan,2020-02-18,16.75225105458037
Japan,2020-02-19,16.268633641184554
Japan,2020-02-20,20.104087045078476
Japan,2020-02-21,18.049642323199038
Japan,2020-02-22,21.04532854924803
Japan,2020-02-23,25.085589872713275
Japan,2020-02-24,34.19653757174262
Japan,2020-02-25,39.435325393251816
Japan,2020-02-26,30.899051436491355
Japan,2020-02-27,26.674020749793318
Japan,2020-02-28,38.68059917344503
Japan,2020-02-29,28.62858361929946
Japan,2020-03-01,35.23150449757421
Japan,2020-03-02,47.4767939979993
Japan,2020-03-03,37.661450006580694
Japan,2020-03-04,39.95928789434634
Japan,2020-03-05,39.159805758722506
Japan,2020-03-06,40.06979834580505
Japan,2020-03-07,48.75555855187904
Japan,2020-03-08,39.32580160220851
Japan,2020-03-09,49.794569256253155
Japan,2020-03-10,33.22034676220072
Japan,2020-03-11,46.70135944474677
Japan,2020-03-12,37.23807665063848
Japan,2020-03-13,45.80871146684544
Japan,2020-03-14,41.48443909506897
Japan,2020-03-15,42.425632394854944
Japan,2020-03-16,49.766098531375164
Japan,2020-03-17,70.53227262429505
Japan,2020-03-18,73.76774180654701
Japan,2020-03-19,105.72478260635862
Japan,2020-03-20,109.89822123029023
Japan,2020-03-21,110.062746292004
Japan,2020-03-22,143.2032185233789
Japan,2020-03-23,222.7423912512762
Japan,2020-03-24,217.25256790880366
Japan,2020-03-25,242.39143553393453
Japan,2020-03-26,281.03778324188306
Japan,2020-03-27,400.071966345246
Japan,2020-03-28,380.9936551280117
Japan,2020-03-29,386.5444670430159
Japan,2020-03-30,526.1501800268521
Japan,2020-03-31,456.55684897922293
Japan,2020-04-01,582.1585396052001
Japan,2020-04-02,460.04573126563247
Japan,2020-04-03,581.5642946348592
Japan,2020-04-04,507.6690001407553
Japan,2020-04-05,470.0249328863829
Japan,2020-04-06,588.9612097794884
Japan,2020-04-07,556.0734497630315
Japan,2020-04-08,542.0789579262214
Japan,2020-04-09,484.85806474740275
Japan,2020-04-10,502.54454225099454
Japan,2020-04-11,464.15113253603676
Japan,2020-04-12,377.7977411491505
Japan,2020-04-13,406.4155336640256
Japan,2020-04-14,368.375824400929
Japan,2020-04-15,350.53026001585056
Japan,2020-04-16,292.4683928840594
Japan,2020-04-17,288.950934431892
Japan,2020-04-18,278.29850881823586
Japan,2020-04-19,217.02850010236125
Japan,2020-04-20,278.43238532352814
Japan,2020-04-21,212.04857544375477
Japan,2020-04-22,216.13537483021219
Japan,2020-04-23,156.4405549070131
Japan,2020-04-24,191.89769533837512
Japan,2020-04-25,151.8999650770316
Japan,2020-04-26,130.94873129059954
Japan,2020-04-27,137.73205369973076
Japan,2020-04-28,102.49213492111403
Japan,2020-04-29,72.46355749946316
Japan,2020-04-30,78.14682316752189
Japan,2020-05-01,70.30968577124115
Japan,2020-05-02,59.065814012363084
Japan,2020-05-03,39.0105233216411
Japan,2020-05-04,28.001203268408833
Japan,2020-05-05,19.000092659661664
Japan,2020-05-06,17.00000431235796
Japan,2020-05-07,7.000000097552929
