state,date,0
Japan,2020-02-15,8.334993933102409
Japan,2020-02-16,6.368513279080853
Japan,2020-02-17,2.0559931813200403
Japan,2020-02-18,0.6167493413175612
Japan,2020-02-19,0.19575097905324582
Japan,2020-02-20,0.06552853975509006
Japan,2020-02-21,0.02676702525319533
Japan,2020-02-22,0.025181192943357394
Japan,2020-02-23,0.058328397074056695
Japan,2020-02-24,0.15865099231501084
Japan,2020-02-25,0.3998872693062411
Japan,2020-02-26,0.8992905546163965
Japan,2020-02-27,1.7294630544087712
Japan,2020-02-28,2.757883241588352
Japan,2020-02-29,3.657678181705359
Japan,2020-03-01,4.149977249027405
Japan,2020-03-02,4.256448696899466
Japan,2020-03-03,4.304979839497639
Japan,2020-03-04,4.4947476640068285
Japan,2020-03-05,4.648818303204111
Japan,2020-03-06,4.589539743729855
Japan,2020-03-07,4.350104982175849
Japan,2020-03-08,3.9775717966370223
Japan,2020-03-09,3.463129862423294
Japan,2020-03-10,2.8972295644231227
Japan,2020-03-11,2.407818763129525
Japan,2020-03-12,1.9951477647570015
Japan,2020-03-13,1.6104891032646114
Japan,2020-03-14,1.2834328964492456
Japan,2020-03-15,1.1461209036523812
Japan,2020-03-16,1.326275107824057
Japan,2020-03-17,1.8574908819199685
Japan,2020-03-18,2.78331809051544
Japan,2020-03-19,4.319487188136579
Japan,2020-03-20,6.934485004945657
Japan,2020-03-21,11.41502453459068
Japan,2020-03-22,18.742812005255765
Japan,2020-03-23,29.62879329062983
Japan,2020-03-24,43.38305343427664
Japan,2020-03-25,56.94975869427027
Japan,2020-03-26,66.41013830830143
Japan,2020-03-27,69.72430104903123
Japan,2020-03-28,67.23255538503949
Japan,2020-03-29,60.87378331440118
Japan,2020-03-30,53.28298693718015
Japan,2020-03-31,46.417949197167495
Japan,2020-04-01,41.74692290511719
Japan,2020-04-02,41.3299002802935
Japan,2020-04-03,47.48115411722932
Japan,2020-04-04,62.15315932354626
Japan,2020-04-05,86.0584710517835
Japan,2020-04-06,115.6384684873529
Japan,2020-04-07,141.6429579326169
Japan,2020-04-08,153.8767610816416
Japan,2020-04-09,148.1184693018223
Japan,2020-04-10,129.26364966407814
Japan,2020-04-11,108.19281751807952
Japan,2020-04-12,93.072740127061
Japan,2020-04-13,83.86595447156137
Japan,2020-04-14,76.89048065478184
Japan,2020-04-15,70.9821383269882
Japan,2020-04-16,66.7882552709805
Japan,2020-04-17,64.12721789754261
Japan,2020-04-18,62.34942686739176
Japan,2020-04-19,60.9882720507713
Japan,2020-04-20,59.34051798018588
Japan,2020-04-21,56.94085533391656
Japan,2020-04-22,54.03760567196692
Japan,2020-04-23,50.367399590160545
Japan,2020-04-24,44.85417956450863
Japan,2020-04-25,36.88276026605888
Japan,2020-04-26,26.948836740756455
Japan,2020-04-27,16.7392372154655
Japan,2020-04-28,8.499141029654156
Japan,2020-04-29,3.4677532376696103
Japan,2020-04-30,1.1486479477882852
Japan,2020-05-01,0.3102902785224727
Japan,2020-05-02,0.06596500730330554
Japan,2020-05-03,0.010550906872551056
Japan,2020-05-04,0.0012068024613558534
Japan,2020-05-05,9.296015310149317e-05
Japan,2020-05-06,4.3276267548923705e-06
Japan,2020-05-07,9.792699297284296e-08
Japan,2020-05-08,6.956961204214801e-10
Japan,2020-05-09,0.0
Japan,2020-05-10,0.0
Japan,2020-05-11,0.0
Japan,2020-05-12,0.0
Japan,2020-05-13,0.0
Japan,2020-05-14,0.0
Japan,2020-05-15,0.0
Japan,2020-05-16,0.0
Japan,2020-05-17,0.0
