region,date,mean,median,lower_90,upper_90,lower_50,upper_50
NY,2020-04-22,0.741325350459565,0.7583313052093965,0.5585839839427087,0.9087748916197438,0.7154795370021271,0.8570020542542521
NY,2020-04-23,0.7272459021088722,0.7449719815961634,0.5465859130288654,0.9003432377500914,0.6971603443580132,0.8460278363911748
NY,2020-04-24,0.714119839958434,0.7313543762069592,0.5269713520383101,0.898586769667798,0.6955567299887084,0.8516549368983374
NY,2020-04-25,0.7149030425465267,0.7291412116999407,0.5222433888696613,0.8995824065962825,0.6948266248838089,0.850887294182275
NY,2020-04-26,0.7412214040465188,0.7532836366887818,0.5696100924734789,0.9042311571826159,0.693862278473866,0.8391922435716507
NY,2020-04-27,0.7661842570812102,0.779270152708287,0.5997731587768285,0.9131131939965275,0.7370726572836613,0.8673300874056495
NY,2020-04-28,0.7783945635058607,0.791302847157396,0.6138242781037341,0.9162469376196644,0.7714636772508703,0.8969106169796041
NY,2020-04-29,0.7788078878249167,0.7936981441396319,0.626566284303293,0.9184159481487406,0.7596621254184235,0.879372779626144
NY,2020-04-30,0.7817682214866863,0.7984110063944319,0.6245957344165155,0.9241244272220308,0.7553434005386652,0.8722929432039789
NY,2020-05-01,0.7942028444939694,0.8106660105255492,0.6596855325208534,0.9445083023379124,0.7889977509686712,0.9025943318119166
NY,2020-05-02,0.804808051196514,0.8217506668682817,0.6588601739921545,0.9336191137131632,0.7980688066583242,0.9064039129297294
NY,2020-05-03,0.8203614636689008,0.8335138960340607,0.6985136423326319,0.9517680149338577,0.7939389899143316,0.8963379520172279
NY,2020-05-04,0.8354708938081394,0.8482682337659526,0.7279148521842316,0.9608187170796391,0.8247715732314701,0.9170878687320586
NY,2020-05-05,0.8436832456198341,0.8561152337163513,0.7376672413140176,0.9671585495484366,0.8144123504030372,0.9033515616612666
NY,2020-05-06,0.8439845981307591,0.8546496989500381,0.7249590276430681,0.9493301842369837,0.8245770113205245,0.9190925983467253
NY,2020-05-07,0.8444495885599038,0.8568507292420464,0.7355449974096038,0.9579689738619077,0.8428575169752199,0.9321459195882866
NY,2020-05-08,0.8523104606441899,0.8627924984784636,0.7495980729135943,0.9560554605017193,0.8482684098114268,0.9324568867150398
NY,2020-05-09,0.8607898568979676,0.8738589038354968,0.7639384106582697,0.9708890705161997,0.8599743647987915,0.9456328854060738
NY,2020-05-10,0.8684096897391619,0.8796503426223234,0.7708394518581333,0.9735275691395786,0.8607140769415466,0.9468076206478326
NY,2020-05-11,0.8738284733899191,0.8836189323283479,0.7725151357971248,0.9731646111375156,0.8610467082174746,0.9423975378182233
NY,2020-05-12,0.8715754919969276,0.8822752461522454,0.7701241005145489,0.979111311744205,0.8617832151453296,0.9413802288038168
NY,2020-05-13,0.8667152503332602,0.8774100550506871,0.7673299385399486,0.9750279089989567,0.8611661847314596,0.945161593420197
NY,2020-05-14,0.8623573927493424,0.8742081189042099,0.7568815393976099,0.9688686802394112,0.8541760885481106,0.9380534467095367
NY,2020-05-15,0.8622235039312475,0.8736146615611687,0.7614442052267049,0.9711645864616029,0.8550016150479725,0.9354112796581818
NY,2020-05-16,0.8664469536595693,0.8793426758887752,0.7511319299613347,0.9633678270913323,0.8610634823885459,0.9409065124374091
NY,2020-05-17,0.8725703236546682,0.885030102558306,0.7789159094386319,0.9829240677813454,0.8652313367379073,0.9441612719049539
NY,2020-05-18,0.877535637919304,0.887071822044867,0.786928649628169,0.9842208423258939,0.86183304079014,0.9369856651294712
NY,2020-05-19,0.8782164562678494,0.8889122794678468,0.7856374968933553,0.978127185495058,0.8542078219980178,0.9350291385630223
NY,2020-05-20,0.8756362581948459,0.886487292412989,0.778007858621191,0.9777600802441115,0.8696911166466345,0.9495194845931214
NY,2020-05-21,0.8742525300148731,0.8861539407305353,0.7776409492232106,0.9806516429384139,0.8622622970684845,0.9391795939056757
NY,2020-05-22,0.874282081957316,0.8872887474455147,0.7716711727693162,0.9729108228809147,0.8666741522696939,0.9452572364830749
NY,2020-05-23,0.8766938040375245,0.8902734974990568,0.7779983366630072,0.9783965930083546,0.8737578852890114,0.9522290382047448
NY,2020-05-24,0.8784700697865764,0.8909332378585959,0.7824555653799247,0.978838592826604,0.8621071775329678,0.9392605331579466
NY,2020-05-25,0.8781045396832642,0.8923695545411103,0.7785601224064481,0.9774167924961116,0.8680259239050537,0.9440766095258583
NY,2020-05-26,0.875380364160503,0.8868700318459887,0.7691120203061116,0.9710463942486445,0.8653946392072678,0.9413278620688252
NY,2020-05-27,0.8726302086985899,0.8881640257449949,0.7575781735269348,0.9691523283816427,0.865689584731657,0.9425881345794005
NY,2020-05-28,0.8688198764180005,0.8817330279499709,0.7684184704479438,0.9807045048785604,0.8604969809738165,0.9419474898105739
NY,2020-05-29,0.8666004115658689,0.8791164089935153,0.7631272778930325,0.9763657130223184,0.8529830109217198,0.9365715799257629
NY,2020-05-30,0.8663144915220384,0.878940410684925,0.758906753852979,0.9761067850096931,0.8610536744556395,0.9461916794000967
NY,2020-05-31,0.8672649794567437,0.8806838607405737,0.7517244085239925,0.9737465347059937,0.8629869717245052,0.9479357256153196
NY,2020-06-01,0.864368019331478,0.8758687164353081,0.7509487145602977,0.9798198817884698,0.8640621941652663,0.9547519660451368
NY,2020-06-02,0.8610485597693973,0.8749358011176296,0.7450606416267221,0.9763125234473834,0.8477862665841065,0.9390842991347714
NY,2020-06-03,0.8591289252455961,0.8719948784558438,0.7377514687933625,0.9828692221856868,0.8446339513314759,0.9379030530138917
NY,2020-06-04,0.8556715705393456,0.8704919390489074,0.7176393390641221,0.973135754087474,0.8495819395358283,0.947610088706925
NY,2020-06-05,0.8561367226184312,0.8728450350400636,0.7347241835343497,1.0052762160884359,0.8412026719195029,0.9428341080042271
NY,2020-06-06,0.8537900547039635,0.869134003017729,0.7095391816063205,1.0008277785379425,0.850045032420768,0.9549203974873908
NY,2020-06-07,0.8532316893508722,0.8699490508350853,0.6990532931306099,0.9917147965113007,0.8445659226206653,0.9507552486666546
NY,2020-06-08,0.8517851423275299,0.868941176351061,0.6750456023777118,0.9929326219049041,0.8476738275994437,0.9605273643678831
NY,2020-06-09,0.8529962098098898,0.872789796727969,0.6809069903032147,1.0043961976585165,0.8507545517083508,0.9674630354068176
