date,ML,Low_90,High_90,Low_50,High_50,adjustedCases,adjustedDomesticCases,confirmedOnlyCases,confirmedOnlyDomesticCases
2020-02-29,0.0001,0.0001,10.81,0.0001,6.01,2.283072244764151,2.283072244764151,0.0,0.0
2020-03-01,11.94,6.3500000000000005,12.0,9.870000000000001,12.0,2.936653626853522,2.936653626853522,0.0,0.0
2020-03-02,11.93,7.7700000000000005,12.0,10.43,11.99,3.63217993017573,3.63217993017573,0.0,0.0
2020-03-03,11.92,7.51,12.0,10.07,11.97,4.319955116475535,4.319955116475535,0.0,0.0
2020-03-04,8.040000000000001,5.4,11.22,6.7,9.26,4.941640925835633,4.941640925835633,0.0,0.0
2020-03-05,5.7,3.89,7.99,4.82,6.5,5.4389296038811565,5.4389296038811565,0.0,0.0
2020-03-06,4.3500000000000005,3.0500000000000003,5.83,3.72,4.86,5.763489198356734,5.763489198356734,0.0,0.0
2020-03-07,3.48,2.5100000000000002,4.54,3.0300000000000002,3.86,5.885717933597057,5.885717933597057,0.0,0.0
2020-03-08,2.89,2.15,3.71,2.54,3.18,5.799956241278361,5.799956241278361,0.0,0.0
2020-03-09,2.47,1.84,3.1,2.15,2.67,5.524763023060682,5.524763023060682,0.0,0.0
2020-03-10,2.14,1.62,2.67,1.9000000000000001,2.33,5.098337244614209,5.098337244614209,0.0,0.0
2020-03-11,1.8800000000000001,1.45,2.35,1.68,2.05,4.570579673291928,4.570579673291928,0.0,0.0
2020-03-12,1.67,1.27,2.07,1.47,1.8,3.9940955910900544,3.9940955910900544,0.0,0.0
2020-03-13,1.5,1.12,1.85,1.31,1.61,3.4163871107363284,3.4163871107363284,1.0,1.0
2020-03-14,1.36,1.02,1.69,1.17,1.45,2.8747159519054404,2.8747159519054404,0.0,0.0
2020-03-15,1.24,0.92,1.55,1.08,1.34,2.394051492810828,2.394051492810828,13.0,13.0
2020-03-16,1.1300000000000001,0.81,1.42,0.98,1.23,1.987604305356201,1.987604305356201,13.0,13.0
2020-03-17,1.05,0.74,1.33,0.91,1.1500000000000001,1.658954543150274,1.658954543150274,0.0,0.0
2020-03-18,0.98,0.7000000000000001,1.27,0.8200000000000001,1.06,1.4047438214232735,1.4047438214232735,5.0,5.0
2020-03-19,0.92,0.62,1.19,0.76,1.0,1.2171611116088679,1.2171611116088679,4.0,4.0
2020-03-20,0.88,0.6,1.16,0.76,0.99,1.085825346157687,1.085825346157687,1.0,1.0
2020-03-21,0.85,0.5700000000000001,1.1300000000000001,0.72,0.9500000000000001,0.9990073472849187,0.9990073472849187,6.0,6.0
2020-03-22,0.8200000000000001,0.52,1.09,0.66,0.9,0.94437115374942,0.94437115374942,5.0,5.0
2020-03-23,0.81,0.51,1.08,0.64,0.88,0.9095258195284306,0.9095258195284306,7.0,7.0
2020-03-24,0.8,0.51,1.08,0.64,0.88,0.8826584418037656,0.8826584418037656,5.0,5.0
2020-03-25,0.79,0.48,1.06,0.64,0.88,0.8533819349229154,0.8533819349229154,5.0,5.0
2020-03-26,0.79,0.49,1.07,0.64,0.88,0.81372729526111,0.81372729526111,3.0,3.0
2020-03-27,0.79,0.48,1.07,0.66,0.9,0.7590273659655529,0.7590273659655529,1.0,1.0
2020-03-28,0.79,0.49,1.08,0.62,0.87,0.6883691847943667,0.6883691847943667,1.0,1.0
2020-03-29,0.78,0.47000000000000003,1.07,0.62,0.87,0.6043799558733092,0.6043799558733092,1.0,1.0
2020-03-30,0.78,0.45,1.06,0.63,0.88,0.5123245754361021,0.5123245754361021,2.0,2.0
2020-03-31,0.77,0.46,1.07,0.64,0.89,0.4187330776559483,0.4187330776559483,0.0,0.0
2020-04-01,0.76,0.44,1.06,0.59,0.85,0.32993382533673504,0.32993382533673504,2.0,2.0
2020-04-02,0.75,0.42,1.05,0.59,0.85,0.25087633886163174,0.25087633886163174,1.0,1.0
2020-04-03,0.73,0.4,1.04,0.55,0.8200000000000001,0.1844943092182214,0.1844943092182214,1.0,1.0
2020-04-04,0.72,0.38,1.03,0.55,0.8200000000000001,0.13165569005139988,0.13165569005139988,0.0,0.0
2020-04-05,0.71,0.36,1.02,0.56,0.8300000000000001,0.09156460200974635,0.09156460200974635,1.0,1.0
2020-04-06,0.7000000000000001,0.35000000000000003,1.02,0.52,0.8,0.06238483702004646,0.06238483702004646,3.0,3.0
2020-04-07,0.6900000000000001,0.34,1.02,0.53,0.81,0.041861401775987704,0.041861401775987704,5.0,5.0
2020-04-08,0.68,0.3,1.0,0.49,0.78,0.027793334960441955,0.027793334960441955,1.0,1.0
2020-04-09,0.67,0.3,1.01,0.52,0.81,0.018307275527952582,0.018307275527952582,2.0,2.0
2020-04-10,0.67,0.3,1.02,0.48,0.78,0.011955512206983612,0.011955512206983612,0.0,0.0
2020-04-11,0.66,0.27,1.01,0.45,0.76,0.007697374743425421,0.007697374743425421,0.0,0.0
2020-04-12,0.66,0.26,1.01,0.47000000000000003,0.78,0.004824092310229393,0.004824092310229393,0.0,0.0
2020-04-13,0.66,0.27,1.03,0.45,0.77,0.0028705012780650178,0.0028705012780650178,0.0,0.0
2020-04-14,0.66,0.27,1.04,0.46,0.78,0.0015370415859671934,0.0015370415859671934,0.0,0.0
2020-04-15,0.66,0.24,1.03,0.44,0.77,0.0006304486848792772,0.0006304486848792772,1.0,1.0
2020-04-16,0.66,0.24,1.04,0.46,0.79,2.3142924326769506e-05,2.3142924326769506e-05,0.0,0.0
2020-04-17,0.66,0.24,1.05,0.43,0.77,0.0,0.0,0.0,0.0
2020-04-18,0.66,0.21,1.04,0.46,0.8,0.0,0.0,0.0,0.0
2020-04-19,0.66,0.21,1.05,0.43,0.78,0.0,0.0,0.0,0.0
2020-04-20,0.66,0.21,1.06,0.45,0.8,0.0,0.0,0.0,0.0
2020-04-21,0.66,0.21,1.07,0.43,0.79,0.0,0.0,0.0,0.0
2020-04-22,0.66,0.22,1.09,0.45,0.81,0.0,0.0,1.0,1.0
2020-04-23,0.66,0.18,1.07,0.42,0.79,0.0,0.0,0.0,0.0
2020-04-24,0.66,0.17,1.07,0.44,0.81,0.00017132064558069327,0.00017132064558069327,0.0,0.0
2020-04-25,0.66,0.16,1.07,0.41000000000000003,0.79,0.0010801306665787352,0.0010801306665787352,0.0,0.0
2020-04-26,0.66,0.2,1.11,0.43,0.81,0.002577603587788615,0.002577603587788615,0.0,0.0
2020-04-27,0.66,0.18,1.1,0.4,0.79,0.004927247960115368,0.004927247960115368,0.0,0.0
2020-04-28,0.66,0.17,1.1,0.41000000000000003,0.8,0.008436425266075773,0.008436425266075773,0.0,0.0
2020-04-29,0.66,0.16,1.1,0.44,0.8300000000000001,0.013420904812666345,0.013420904812666345,0.0,0.0
2020-04-30,0.66,0.15,1.1,0.4,0.8,0.020145733041212442,0.020145733041212442,0.0,0.0
2020-05-01,0.67,0.17,1.12,0.42,0.8200000000000001,0.02874195252822971,0.02874195252822971,0.0,0.0
2020-05-02,0.67,0.16,1.12,0.43,0.8300000000000001,0.039107864592789254,0.039107864592789254,0.0,0.0
2020-05-03,0.68,0.18,1.1400000000000001,0.45,0.85,0.05081750561651629,0.05081750561651629,0.0,0.0
2020-05-04,0.68,0.2,1.16,0.41000000000000003,0.8200000000000001,0.06307141998984804,0.06307141998984804,0.0,0.0
2020-05-05,0.6900000000000001,0.18,1.1500000000000001,0.43,0.84,0.07472710055746141,0.07472710055746141,0.0,0.0
2020-05-06,0.7000000000000001,0.2,1.17,0.44,0.85,0.08443265057244839,0.08443265057244839,0.0,0.0
2020-05-07,0.71,0.21,1.18,0.45,0.86,0.09085730345046834,0.09085730345046834,0.0,0.0
2020-05-08,0.72,0.23,1.2,0.46,0.87,0.09297415278256721,0.09297415278256721,0.0,0.0
2020-05-09,0.72,0.21,1.19,0.47000000000000003,0.88,0.09031852990996123,0.09031852990996123,0.0,0.0
2020-05-10,0.73,0.22,1.2,0.48,0.89,0.08313674553009995,0.08313674553009995,0.0,0.0
2020-05-11,0.73,0.24,1.22,0.49,0.9,0.07236467930846746,0.07236467930846746,0.0,0.0
2020-05-12,0.73,0.21,1.2,0.51,0.92,0.0594296762310932,0.0594296762310932,0.0,0.0
2020-05-13,0.73,0.22,1.21,0.46,0.88,0.04593206914057908,0.04593206914057908,0.0,0.0
2020-05-14,0.73,0.25,1.24,0.46,0.88,0.03330631512539467,0.03330631512539467,0.0,0.0
2020-05-15,0.72,0.21,1.21,0.47000000000000003,0.89,0.02256517061485319,0.02256517061485319,0.0,0.0
2020-05-16,0.72,0.19,1.2,0.48,0.9,0.014192035898293088,0.014192035898293088,0.0,0.0
2020-05-17,0.71,0.21,1.22,0.44,0.87,0.008186141310029874,0.008186141310029874,0.0,0.0
2020-05-18,0.71,0.19,1.21,0.44,0.87,0.004212018521521976,0.004212018521521976,0.0,0.0
2020-05-19,0.71,0.17,1.2,0.46,0.89,0.0017810867064475397,0.0017810867064475397,0.0,0.0
2020-05-20,0.7000000000000001,0.19,1.22,0.42,0.86,0.00040329855642072423,0.00040329855642072423,1.0,1.0
2020-05-21,0.7000000000000001,0.18,1.22,0.43,0.87,0.0,0.0,0.0,0.0
2020-05-22,0.7000000000000001,0.17,1.22,0.45,0.89,0.0,0.0,0.0,0.0
2020-05-23,0.7000000000000001,0.16,1.22,0.41000000000000003,0.86,0.0,0.0,0.0,0.0
2020-05-24,0.7000000000000001,0.15,1.22,0.43,0.88,0.0,0.0,0.0,0.0
2020-05-25,0.7000000000000001,0.14,1.22,0.45,0.9,0.0,0.0,0.0,0.0
2020-05-26,0.7000000000000001,0.13,1.22,0.41000000000000003,0.87,0.0,0.0,0.0,0.0
2020-05-27,0.7000000000000001,0.12,1.22,0.43,0.89,0.0,0.0,0.0,0.0
2020-05-28,0.7000000000000001,0.16,1.26,0.4,0.87,0.0,0.0,0.0,0.0
2020-05-29,0.7000000000000001,0.14,1.25,0.41000000000000003,0.88,0.0,0.0,0.0,0.0
2020-05-30,0.7000000000000001,0.12,1.24,0.43,0.9,0.0,0.0,0.0,0.0
2020-05-31,0.7000000000000001,0.09,1.22,0.39,0.87,0.00026709107564190497,0.00026709107564190497,0.0,0.0
2020-06-01,0.7000000000000001,0.11,1.24,0.41000000000000003,0.89,0.0010848939714236997,0.0010848939714236997,0.0,0.0
2020-06-02,0.7000000000000001,0.13,1.26,0.42,0.9,0.0024013384542578503,0.0024013384542578503,0.0,0.0
2020-06-03,0.7000000000000001,0.1,1.24,0.44,0.92,0.004455380991008001,0.004455380991008001,0.0,0.0
2020-06-04,0.71,0.12,1.26,0.4,0.89,0.007535954763722908,0.007535954763722908,0.0,0.0
2020-06-05,0.71,0.09,1.24,0.41000000000000003,0.9,0.011955772287828327,0.011955772287828327,0.0,0.0
2020-06-06,0.71,0.11,1.26,0.42,0.91,0.01800422583746649,0.01800422583746649,0.0,0.0
2020-06-07,0.72,0.14,1.29,0.44,0.93,0.02587689881425554,0.02587689881425554,0.0,0.0
2020-06-08,0.72,0.11,1.27,0.45,0.9400000000000001,0.035586823015172485,0.035586823015172485,0.0,0.0
2020-06-09,0.73,0.13,1.29,0.47000000000000003,0.96,0.04687556300754121,0.04687556300754121,0.0,0.0
2020-06-10,0.74,0.15,1.31,0.48,0.97,0.05915461211911608,0.05915461211911608,0.0,0.0
2020-06-11,0.75,0.17,1.33,0.48,0.97,0.07151167357508169,0.07151167357508169,0.0,0.0
2020-06-12,0.76,0.19,1.35,0.49,0.98,0.08280657723703207,0.08280657723703207,0.0,0.0
2020-06-13,0.77,0.2,1.36,0.5,0.99,0.09185713319818067,0.09185713319818067,0.0,0.0
2020-06-14,0.79,0.21,1.37,0.5,0.99,0.09768213385869945,0.09768213385869945,0.0,0.0
2020-06-15,0.8,0.22,1.3800000000000001,0.51,1.0,0.09973959768165605,0.09973959768165605,0.0,0.0
2020-06-16,0.8,0.22,1.3800000000000001,0.51,1.0,0.09808824890127095,0.09808824890127095,0.0,0.0
2020-06-17,0.81,0.23,1.3900000000000001,0.51,1.0,0.09341860350559733,0.09341860350559733,0.0,0.0
2020-06-18,0.81,0.23,1.3900000000000001,0.51,1.0,0.08694311238624142,0.08694311238624142,0.0,0.0
2020-06-19,0.8200000000000001,0.23,1.3900000000000001,0.51,1.0,0.08018416289780186,0.08018416289780186,0.0,0.0
2020-06-20,0.8200000000000001,0.23,1.3900000000000001,0.51,1.0,0.07472923075031451,0.07472923075031451,0.0,0.0
2020-06-21,0.8200000000000001,0.27,1.42,0.51,1.0,0.07201701750583173,0.07201701750583173,0.0,0.0
2020-06-22,0.8200000000000001,0.27,1.42,0.51,1.0,0.07318091835477039,0.07318091835477039,0.0,0.0
2020-06-23,0.8200000000000001,0.27,1.42,0.51,1.0,0.0789326123417414,0.0789326123417414,0.0,0.0
2020-06-24,0.8200000000000001,0.27,1.42,0.51,1.0,0.08945180270542503,0.08945180270542503,0.0,0.0
2020-06-25,0.8300000000000001,0.27,1.42,0.58,1.06,0.10427391488840454,0.10427391488840454,0.0,0.0
2020-06-26,0.84,0.28,1.43,0.58,1.06,0.12221921899307053,0.12221921899307053,1.0,1.0
2020-06-27,0.85,0.28,1.43,0.58,1.06,0.14144351719355852,0.14144351719355852,0.0,0.0
2020-06-28,0.87,0.29,1.44,0.59,1.07,0.159676227881169,0.159676227881169,0.0,0.0
